Date,gdp,cpi,cpi_core,mmr,neer,eur_tnd,usd_tnd,gdp_ea,cpi_ea,nr_ea,wp_oil,cpi_freshfood,cpi_administ,cpi_core1,cpi_food,cpi_energy,cpi_core2,fisc_bal,gdp_agriculture
2000Q1,13527.706482683,61.0771633962092,64.775873364821,5.875,166.911534096117,1.26178666666667,1.27787,2098112.9,75.11,3.54231608005521,51.0949601615801,49.6360426615493,62.2724132075772,62.9423578571756,54.1537281132415,52.6215067496917,64.775873364821,-9.43569858188496,1284.45404458239
2000Q2,13653.5523919623,60.8782447624274,64.9451376105838,5.875,164.471957288726,1.26671,1.35696333333333,2117060.5,75.5966666666667,4.26301683501684,50.6496604589767,46.9752641481727,62.4900877802446,63.0753905134236,52.8593760707939,52.9971375722184,64.9451376105838,3.83512559174674,1293.14611749846
2000Q3,13956.1632412627,61.0477999077737,65.1510091596542,5.875,163.887672362601,1.26396,1.39640333333333,2128762.1,76.02,4.73760041407868,57.9016841870895,46.7626894686619,62.7370129589597,63.2909395125135,52.8303356416522,53.539021361768,65.1510091596542,-0.726121403343981,1332.17507022659
2000Q4,14248.2868738475,61.2227270882149,65.2643054092424,5.875,163.011077879068,1.26129666666667,1.45173,2142847.2,76.5033333333333,5.0241283891547,56.444918017144,47.3249874740103,62.8625323625117,63.4066069920068,53.0876463421027,53.9698189732561,65.2643054092424,-6.57506916650668,1405.64365980544
2001Q1,14329.1650720346,61.4793452185784,65.5924133655454,5.97916666666667,161.954840910562,1.28359666666667,1.39042666666667,2164346.3,76.72,4.74505454545455,49.2692313809062,47.3941595974458,62.9931272099303,63.7571714961165,53.2340743262503,53.9806316577613,65.5924133655454,-3.39843193444571,1317.33352879256
2001Q2,14290.0136596328,61.9097249471978,65.8680570193957,6.0625,161.415329030578,1.27481333333333,1.46017333333333,2166676.3,77.82,4.59075108225108,51.985559566787,49.0193314092052,63.1909729758431,64.0396619894822,54.1776053313856,53.9855668908164,65.8680570193957,-0.753866634294195,1255.71325356365
2001Q3,14124.410419037,62.4233330761613,66.3364933357293,6.0625,159.834153431685,1.29195666666667,1.45173666666667,2169300.4,77.87,4.2678360342556,48.1877892460121,49.493726599897,64.1808619888671,64.3541024011945,54.9530325239293,53.9844697566534,66.3364933357293,-0.627361124133986,1274.97668404727
2001Q4,14194.0490166838,62.9574774819354,66.5295176853814,5.95833333333333,159.033820095233,1.29957333333333,1.45263,2171936.3,78.1433333333333,3.4434800907627,36.9089839215,51.6051023544981,64.8420716184283,64.5040692922961,56.0718972059837,55.4860280767762,66.5295176853814,-7.25853749849153,1329.35188227345
2002Q1,14133.8252663644,63.2030551493361,66.8489740590249,5.9375,159.541158388314,1.29821,1.48184333333333,2173661.7,78.6833333333333,3.36222424242424,40.3695987531608,51.1637106630891,65.0111519357459,64.9261859873528,56.2005884992742,55.4880943868905,66.8489740590249,-3.11648920737777,1155.95582623781
2002Q2,14109.6204100428,63.086999774424,67.0074026872851,5.9375,156.735064383743,1.33201333333333,1.45017666666667,2185399,79.4633333333333,3.44601370851371,47.8442723325752,49.1113396302547,65.0295260458945,65.1553401492418,55.3574541396297,55.4880888361181,67.0074026872851,-3.6062953910642,1148.43698235427
2002Q3,14021.0324234149,63.3646730534087,67.2907400876509,5.94791666666667,155.351258548668,1.35785666666667,1.38121333333333,2194747,79.51,3.35735064935065,51.3621399831422,49.5482563616679,65.3891019308753,65.3641549029984,55.6927870094642,55.5148404165763,67.2907400876509,1.19813847723587,1167.51282212707
2002Q4,14129.9201833071,63.7897301921196,67.6661070912966,5.90625,153.307003812255,1.37728,1.37547666666667,2197962.5,79.9366666666667,3.10881790890269,51.2539957696528,50.3815281126277,66.1970128023896,65.5374258475779,56.1605007865501,56.2290439220854,67.6661070912966,-3.16995061850312,1192.13338282506
2003Q1,14108.7648899547,63.8505011523062,67.8924171208403,5.86458333333333,151.008581602689,1.41886,1.32083333333333,2191070.7,80.51,2.68307352092352,59.9755085163568,49.4993713127041,66.3432085883698,65.7576134080923,55.8185131779813,56.2352188379384,67.8924171208403,-3.78655862188863,1225.71303711876
