"Class[Size] ->","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","double[1-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]","Series[106-by-1]"
"2017Q2",995.9658506776058857,1.6306922727180790,468.2223815430382956,470.4653464473041709,464.5748994723505803,NaN,4.8060933052279324,6.3878713028532275,1.7127338326888548,4.0000000000000000,4.6215423796962893,98.2078472412158021,34.3961791422088936,6.7741501189999997,8.4296545559999991,462.0945105103454011,0.5121891859641892,1476.4984274073019606,3.2008714538796994,-0.3300000000000000,-9.8326186371310378,6.2039081951578838,-16.0365268322889207,-0.8421891859641892,-1.3158607732901253,0.4736715873259361,6.5754664659894102,0.0000000000000000,0.0000000000000000,92.0799762085229077,-0.1845509255316431,-0.8421891859641892,5.7566981236122583,0.8187683423771519,995.4679830430083030,0.4978676345975828,995.7519065719097853,0.2139441056961005,1.2036518761392472,1.2036518761392472,1475.3541634460916612,1.1442639612102994,1476.5579410494970034,-0.0595136421950428,1.9880772679425718,91.2203180834143552,0.8596581251085524,91.1947830982655461,0.8851931102573616,3.5354271911886599,-0.0834481678299007,-0.1011027577017424,-0.0884454598263426,-0.0961054657053005,-1.2842182032910572,0.4420290173268679,-2.2251208229466188,0.0000000000000000,1004.5042891769888911,9.1213916868291562,8.5384384993830054,7.4906994141110772,1119.3083979499656380,14.2030544693507181,997.1595632710665313,1084.3589438132344185,0.7880030856045388,-23.8253273390123930,-145.9741620179114818,-58.7747814757434739,-27.6228428416230685,845.6818961947460593,0.2042881197562093,-158.8223929822427749,6.7741501189999997,7.6102107659999998,6.5096414899999999,2.1526077393037104,2.2692152602929583,-0.1166075209892479,-5.8904469749535906,-6.4748577906768592
"2017Q3",996.3312796111365515,1.4617157341226630,470.0389452569025366,472.1173861744397300,466.6327007728009448,NaN,7.2662548554569639,6.6081589085422365,8.2312052018014583,4.0000000000000000,5.0598052763091435,104.7318994280559252,26.0962087473604925,7.2425633789999999,8.4405252629999996,462.3304756183573545,0.9438604320478134,1477.1980389746222500,2.7984462692811576,-0.3300000000000000,-3.8216192727275922,5.1138962644821495,-8.9355155372097421,-1.2738604320478135,-1.3759889751997942,0.1021285431519807,6.2418236421595896,0.0000000000000000,0.0000000000000000,97.0234297895107716,-2.2064495791478205,-1.2738604320478135,5.7595540487673400,0.4822695933922496,995.6346026870792230,0.6966769240573285,996.0265034155548847,0.3047761955816668,1.0983873745803976,1.0983873745803976,1475.6900393931184681,1.5079995815037819,1477.0413932911990287,0.1566456834232213,1.9338089668081011,92.0951168226022077,4.9283129669085639,92.0579171323681464,4.9655126571426251,3.4525361364104015,-0.0573278051280720,-2.1491217740197484,-0.0619866564457331,-2.1444629227020875,-1.3406311316881443,0.0667706996403308,-1.9635304085590259,0.0000000000000000,1006.0877914208246011,6.3340089753428401,9.7565118096880497,4.8722932412201772,1122.3239365664028355,12.0621544657487902,999.8957719541818960,1087.5330269000082808,0.7993687624891583,-22.3932909664107171,-144.8214555786318272,-57.1842006328053927,-27.4618189569109816,853.7558215760741405,0.2179870332541782,-152.3319698447503470,7.2425633789999999,8.1213690429999996,7.0223542009999997,2.1827581026908565,2.2709477177925970,-0.0881896151017405,-5.4846854016387852,-6.6847142696687367
"2017Q4",996.4718108384511197,0.5621249092582730,471.6801002159276663,473.8389029774314167,468.1593862283935437,NaN,6.5646198361005190,6.8860672119667470,6.1067418223703953,4.0000000000000000,5.0978244764629457,107.5002423028975898,11.0733714993666581,7.2697194590000001,8.4405252629999996,462.7420794922911114,1.6464154957350274,1478.0501888092192075,3.4085993383878304,-0.3300000000000000,11.6802288077611305,4.2583281032904461,7.4219007044706844,-1.9764154957350275,-1.4326512513152356,-0.5437642444197919,2.0846943122166501,0.0000000000000000,0.0000000000000000,98.5622215792610064,-1.4667953596375733,-1.9764154957350275,5.7665393027491412,-3.6818449905324910,995.7561121006273197,0.7156987378238000,996.2721204593929087,0.1996903790582110,0.9824681753520963,0.9824681753520963,1476.0074156662253699,2.0427731429938376,1477.5055836414153418,0.5446051678038657,1.8567614008652527,92.9280509050491901,5.6341706742118163,92.8773003141964182,5.6849212650645882,3.2775327273130870,-0.0209551313668239,-1.4458402282707494,-0.0250603733991582,-1.4417349862384152,-1.3936347106579308,-0.5827807850770967,-1.6152398676238429,0.0000000000000000,1007.8470002473412706,7.0368353060666777,11.3751894088901508,6.4747103968084048,1125.7666647608857602,13.7709127779316987,1002.1052342156356190,1091.4351942267076083,0.8129402088534963,-20.7097715984445720,-144.3712021436947168,-55.0412421326225285,-27.3327981835369869,864.3178314420073320,0.2380459187363589,-143.5291688053339101,7.2697194590000001,8.1334671620000005,7.1119393000000004,2.1718949825370544,2.2727056745542016,-0.1008106920171472,-5.6795167490378731,-6.8886762120501333
"2018Q1",997.4138914633574586,3.7683224996253557,473.6987610608277919,476.3113664054046126,469.5498956923608489,NaN,8.0746433796005022,9.8898537118927834,5.5620378558692209,4.0000000000000000,5.5718488756343696,108.8561952814608418,5.4238119142530081,7.5043254959999999,9.0665359399999996,463.2104187228172805,1.8733569221046764,1478.1187086107645428,0.2740792061813409,-0.3300000000000000,20.4438867099875985,3.5805347288834981,16.8633519811040991,-2.2033569221046765,-1.4850425267437393,-0.7183143953609372,5.0606936554846698,0.0000000000000000,0.0000000000000000,98.3678529434503162,-2.5027945039661326,-2.2033569221046765,5.7815052111902858,-0.7208115557056161,995.8294615761183195,1.5844298872391391,996.4862845141285561,0.9276069492289025,0.8566562189425895,0.8566562189425895,1476.3049915712240363,1.8137170395405064,1477.9449151874960080,0.1737934232685348,1.7573261843226646,93.6992899861970301,4.6685629572532861,93.6330080005813983,4.7348449428689179,3.0228307455399204,0.0257408658968809,-2.5285353698630133,0.0224429018091846,-2.5252374057753171,-1.4425403577293749,-0.7608165643753015,-1.1951570657007426,0.0000000000000000,1010.3130021481803169,9.8640076033561854,12.8991106848228583,6.0956851037308297,1128.3418245099842352,10.3006389963939000,1004.0023863368364800,1094.3510927086472293,0.8138280813962367,-20.6006137501850972,-144.9400519233327600,-54.5913455515221671,-27.2345557650674053,863.6960637846282225,0.2308079305887345,-146.6169383635519523,7.5043254959999999,8.3770605929999995,7.3054627170000002,1.9324766203656303,2.2746204374131622,-0.3421438170475319,-6.7614707130437637,-7.0855821362188740
"2018Q2",999.0462178850460759,6.5293056867544692,475.4624139156429123,478.1305983694959991,470.9870643115416442,NaN,7.0546114192604819,7.2769278563655462,5.7486744767231812,4.0000000000000000,6.3350315500761614,111.1857515418130333,9.3182250414087662,8.2924559680000005,9.0665359399999996,463.7830968227639232,2.2907123997865710,1478.6106124981556604,1.9676155495644707,-0.3300000000000000,27.7703372401884678,3.0284858465023237,24.7418513936861437,-2.6207123997865711,-1.5326975792453570,-1.0880148205412141,4.2432522126934904,0.0000000000000000,0.0000000000000000,99.5064344489340442,-0.7195798691843205,-2.6207123997865711,5.8060019466043178,-1.5627497339108274,995.8520487177291898,3.1941691673168862,996.6666471969537042,2.3795706880923717,0.7214507313005925,0.7214507313005925,1476.5827431471409454,2.0278693510147150,1478.3541313950195217,0.2564811031361387,1.6368648300940549,94.3925250781588403,5.1139093707752039,94.3086686241448149,5.1977658247892293,2.7026424942536664,0.0819275489634111,-0.8015074181477315,0.0797315973086991,-0.7993114664930195,-1.4870237284221091,-1.1336886713644621,-0.7163759092575535,0.0000000000000000,1013.9154244485234813,14.4096892013726574,14.8692065634774053,7.8803835146181882,1131.0700671376248465,10.9129705105624453,1005.7638518077631034,1097.3960056691310001,0.8067447672922141,-21.4747934228877178,-146.7810087527493863,-55.1488548913815961,-27.1654254099628893,870.1949328710143163,0.2375909180843045,-143.7204915775092502,8.2924559680000005,9.2071361120000006,8.0821476650000008,1.9574244179238391,2.2768031510664648,-0.3193787331426257,-7.1435340579543549,-7.2742584689781564
"2018Q3",999.0709199084230931,0.0988080935080689,477.0938829440977429,480.1969761962698726,471.9922489143384041,NaN,6.5258761138193222,8.2655113070954940,4.0207384111870397,4.0000000000000000,7.0085607566687758,115.6881196792085547,18.0094725495820853,8.8888774759999993,9.7043028660000008,464.4198572955569375,2.5470418911720571,1478.6716012930191937,0.2439551794541330,-0.3200000000000000,32.2688999420812337,2.5606907563761303,29.7082091857051047,-2.8670418911720570,-1.5756001330772413,-1.2914417580948157,4.4984235940729302,0.0000000000000000,0.0000000000000000,103.0140940306677635,0.4826846428494536,-2.8670418911720570,5.8411291742824627,-1.3427055802095325,995.8222613983164138,3.2486585101066794,996.8114398794024282,2.2594800290206649,0.5791707297948960,0.5791707297948960,1476.8417800061529306,1.8298212868662631,1478.7280843504543100,-0.0564830574351163,1.4958118217391529,94.9943650448960142,8.0197289857717493,94.8908698955977172,8.1232241350700463,2.3288050858116094,0.1451919455269706,0.3374926973224830,0.1444358678501795,0.3382487749992741,-1.5272359886084996,-1.3398059025635574,-0.1942769338485575,0.0000000000000000,1015.6234092300122711,6.8319391259551594,16.5524893215891780,6.7331310324470905,1133.3646369034872805,9.1782790634497360,1006.9947730102152263,1100.1862943479520709,0.8114909174525943,-20.8882084385141624,-147.2580723317861384,-54.0665509940493081,-27.1232985638831039,881.3389388466184755,0.2611018536711773,-134.2844703833938809,8.8888774759999993,9.7317319280000003,8.7438167310000008,1.8803167193312236,2.2792965314476858,-0.3989798121164623,-8.2047272819314685,-7.4535283960169521
"2018Q4",997.6019819632704184,-5.8757517806106989,478.8990618905781957,482.1812650959941493,473.4267574707421886,NaN,7.2207157859218114,7.9371555988971068,5.7380342256151380,4.0000000000000000,6.9992371820034993,119.9964782928396971,17.2334344545245699,9.1345246329999998,9.7043028660000008,464.6599995751230949,0.9605691182646297,1479.2499094859260822,2.3132327716275540,-0.3200000000000000,17.7744459330496021,2.1511224158551796,15.6233235171944216,-1.2805691182646297,-1.6144139217593829,0.3338448034947532,4.4539321390693596,0.0000000000000000,0.0000000000000000,105.7574159773846532,-0.2214786039183121,-1.2805691182646297,5.8870098409322518,-1.4330777018628922,995.7404838464658496,1.8614981168045688,996.9203811646885924,0.6816007985818260,0.4357651411446568,0.4357651411446568,1477.0844791787801569,2.1654303071459253,1479.0617864409575759,0.1881230449685063,1.3348083620130637,95.4946149437266456,10.2628010336580076,95.3694481292917118,10.3879678480929414,1.9143129347759782,0.2126201411454211,-0.4340987450637332,0.2136862985178619,-0.4351649024361740,-1.5640368595805163,0.2834677413158866,0.3486261187929451,0.0000000000000000,1016.2560758907982290,2.5306666431438316,18.6540939275278106,8.4064184237545305,1135.3951458202755020,8.1220356671528862,1007.8771486587805839,1102.6269929318730192,0.8229139322637098,-19.4903661825118384,-147.0083633440068240,-52.2585190709143674,-27.1056872970219018,882.5046017922702504,0.2624972322054507,-133.7514740985282060,9.1345246329999998,9.8957074019999993,9.0306223090000000,2.1352874509965005,2.2820794187437738,-0.1467919677472733,-8.7545076252519607,-7.6222137957801213
"2019Q1",999.1431119901269540,6.1645201074261422,480.6313497022633783,483.8026416156093887,475.4856912974101419,NaN,6.9291512467407301,6.4855060784609577,8.2357353066718133,4.0000000000000000,7.1948499312584042,124.1268589069632924,16.5215224564943810,9.2752566479999992,10.9277719799999993,464.5928178460259232,-0.2687269163886867,1479.9698564044467730,2.8797876740827633,-0.3100000000000000,12.1868355980128982,1.7923214130308003,10.3945141849820981,-0.0412730836113133,-1.6506098299105807,1.6093367462992674,4.7532634775317897,0.0000000000000000,0.0000000000000000,108.0883270507258658,0.2656986845176741,-0.0412730836113133,5.9429277022735860,-1.1896642247417963,995.6091307023327772,3.5339812877941768,996.9946018310441787,2.1485101590827753,0.2968826654223449,0.2968826654223449,1477.3143613338475006,2.6554950705992724,1479.3502147517760932,0.6196416526706798,1.1537132432740691,95.8880921625849965,12.2002348881408693,95.7393166546627867,12.3490103960630790,1.4794741014842998,0.2815091543124509,-0.0158104697947768,0.2848248798803570,-0.0191261953626829,-1.5991234413192303,1.5578503577079170,0.8851762042338842,0.0000000000000000,1019.1743132288653442,11.6729493522684606,20.0312012387383902,5.5084292448423184,1136.6089553652200266,4.8552381797780981,1007.9638862448691725,1104.2795341020373598,0.8090068135620392,-21.1947939756344077,-149.8398630959852369,-53.5242152388169288,-27.1096880068981108,874.8236674191746260,0.2360984362661860,-144.3506458096906613,9.2752566479999992,9.9930798050000007,9.1318531029999992,2.0804067167415949,2.2850508571792538,-0.2046441404376589,-8.3169503181992468,-7.7791440587013927
"2019Q2",1000.4841251614966495,5.3640526854787822,482.0604094232248258,485.3825526471024432,476.3764220054672478,NaN,5.7162388838457900,6.3196441259722178,3.5629228322284234,4.0000000000000000,7.5571186847074037,121.1940973975112854,-11.7310460378080279,9.9199407639999997,10.9277719799999993,465.1958347486850585,2.4120676106365408,1480.1559825463102698,0.7445045674539870,-0.3200000000000000,18.5381790090548613,1.4865929131925679,17.0515860958622945,-2.7320676106365407,-1.6854500891474495,-1.0466175214890912,5.9143966137829498,0.0000000000000000,0.0000000000000000,104.3295227229714897,1.8408798008616136,-2.7320676106365407,6.0072708404627040,-0.0928742266797542,995.4317800423955305,5.0523451191011191,997.0356586571997468,3.4484665042969027,0.1642273046222726,0.1642273046222726,1477.5363005341223470,2.6196820121879227,1479.5884639450612212,0.5675186012490485,0.9529967731405122,96.1760283400513742,8.1534943829201154,96.0018812810520501,8.3276414419194396,1.0502585055570535,0.3488846918060833,1.4919951090555303,0.3549216244422526,1.4859581764193610,-1.6340156664673899,-1.0980519441691508,1.3828330406051306,0.0000000000000000,1023.9002063827670099,18.9035726156066630,23.4160812212703604,13.5395199301278808,1137.7592868614635790,4.6013259849742099,1007.6837316219322247,1105.9227162871941346,0.7805913103332129,-24.7703556332924890,-154.8459108728238220,-56.6069262075619548,-27.1318894029562649,881.3397334980505775,0.2403630647703988,-142.5604728847164040,9.9199407639999997,10.6137026999999993,9.7810045700000003,2.3628220792925960,2.2880805325851017,0.0747415467074943,-9.0061306416351954,-7.9231598981527878
"2019Q3",999.9026797012229508,-2.3257818410947948,483.4852314141883767,487.0376561674687537,477.5665869969043911,NaN,5.6992879638542036,6.6204140814652419,4.7606599657485731,4.0000000000000000,7.5385726905889658,116.0020916796753170,-20.7680228713438737,9.9778736800000001,11.6559138000000004,465.3579325195778438,0.6483910835711413,1480.4040273663913467,0.9921792803243079,-0.4000000000000000,10.7762808229558260,1.2427386529956714,9.5335421699601550,-1.0483910835711412,-1.7191910956201673,0.6708000120490261,1.3896165558561400,0.0000000000000000,0.0000000000000000,97.8747927850648125,1.8392847267347623,-1.0483910835711412,6.0776837975153786,-4.6880672416592386,995.2142186814370461,4.6884610197859047,997.0464512407356779,2.8562284604872730,0.0431703341437242,0.0431703341437242,1477.7568305267911910,2.6471968396001557,1479.7720159589966897,0.6320114073946570,0.7342080557418740,96.3672802615111692,1.5075125235536433,96.1662659492981930,1.7085268357666195,0.6575386729845718,0.4117625788607199,1.4275221478740423,0.4210345908360351,1.4182501358987272,-1.6692598111941763,0.6208687276230351,1.8180919790845254,0.0000000000000000,1024.3717163413080016,1.8860398341639666,24.4690366400850507,4.2118216752587614,1138.7559210996575985,3.9865369527760777,1008.1032301863065186,1107.2223430164733600,0.7847011663101395,-24.2452313536395536,-154.8979222669906051,-55.7788094368238276,-27.1684858683721444,876.4329211041273311,0.2277770561365761,-147.9387952371806705,9.9778736800000001,10.6593409700000006,9.8003830599999997,2.4393009894110342,2.2909972019642053,0.1483037874468289,-9.4710691705643626,-8.0531074055689231
"2019Q4",998.0320344707969298,-7.4825809217040842,485.0075229083813610,488.4694070738408413,479.2181108554659659,NaN,6.0891659767719375,5.7270036254883507,6.6060954342462992,4.0000000000000000,7.5292984035431347,114.7402452837541773,-5.0473855836845587,10.0116444799999993,11.6559138000000004,465.6908381392505589,1.3316224786908606,1480.3967074308936844,-0.0292797419906492,-0.4000000000000000,8.2296162097557684,1.0802176104052132,7.1493985993505547,-1.7316224786908605,-1.7527433814298417,0.0211209027389812,1.4743250965412900,0.0000000000000000,0.0000000000000000,95.4235605146234320,1.4401324267711972,-1.7316224786908605,6.1517530690557072,-4.6774279725144172,994.9653911499394781,3.0666433208574517,997.0320344707969298,1.0000000000000000,-0.0576670797549923,-0.0576670797549923,1477.9841223602973059,2.4125850705963785,1479.8967074308936844,0.5000000000000000,0.4987658875879788,96.4758006463390529,-1.0522401317156209,96.2467993761411122,-0.8232388615176802,0.3221337073716768,0.4680911376539221,0.9720412891172752,0.4811505615544528,0.9589818652167443,-1.7060884341338762,-0.0255340445569843,2.1855790171763223,0.0000000000000000,1024.1230189606860677,-0.9947895224877357,26.0909844898891379,6.4877913992163485,1139.2705242225940765,2.0584124917459121,1008.5001283126340468,1107.7704620702957072,0.7907137119673873,-23.4819308500809996,-154.2523267600412282,-54.9819930023793262,-27.2155143507368820,871.3535631393976928,0.2170354535845465,-152.7694558212883180,10.0116444799999993,10.7197176200000008,9.8703962749999992,2.4823460764568646,2.2936445706287931,0.1887015058280714,-9.2512962183748755,-8.1678435020918574
"2020Q1",994.5913699715233633,-13.7626579970942657,486.4144094303128441,489.7167932507474575,481.0435600561294791,NaN,5.6275460877259320,4.9895447076264645,7.3017968026540530,4.0000000000000000,7.3900807839534215,114.4222799920162004,-1.2718611669519078,9.9907359079999996,12.4082561499999997,465.6528478263232955,-0.1519612517090536,1476.8680147603079149,-14.1147706823430781,-0.4100000000000000,-12.9966652320244371,1.0244472272425202,-14.0211124592669574,-0.2580387482909464,-1.7865982286700492,1.5285594803791029,5.3264743602941103,0.0000000000000000,0.0000000000000000,93.6607183880266803,1.7625346962274895,-0.2580387482909464,6.2241351086817458,-0.8976607483876355,994.6971722665218749,-0.1058022949985116,996.9992483793166684,-2.4078784077933051,-0.1311443659210454,-0.1311443659210454,1478.2280015811081739,-1.3599868208002590,1479.9587700051931733,-3.0907552448852584,0.2482502971979557,96.5164844092368810,-2.8557660212102007,96.2588781075931053,-2.5981597195664250,0.0483149258079720,0.5167108917056723,1.2458238045218173,0.5341427254251907,1.2283919708022988,-1.7453460509660113,1.4873073026750649,2.4867167229558023,0.0000000000000000,1022.1581830331783749,-7.8593437100307710,27.5668130616550116,5.9033142870634947,1140.9665816611141054,6.7842297540801155,1009.0599699440834911,1109.8157874781054488,0.8201972861133142,-19.8210374840534733,-151.7276492010840343,-50.9718316670619984,-27.2688169140072958,870.2020533923158609,0.2188078576923122,-151.9561296408624287,9.9907359079999996,10.7344361500000005,9.8261052689999993,2.6006551240465781,2.2958960046485846,0.3047591193979935,-8.6732331946179784,-8.2662392884812945
"2020Q2",975.8202209227912363,-75.0845961949285083,487.9615031657851887,491.0888620925970827,482.5348487984790609,NaN,6.1883749418893785,5.4882753673985007,5.9651549693983270,4.0000000000000000,6.5787740538003154,115.6881196792085547,5.0633587487694172,9.1145406399999995,12.4082561499999997,465.4341229994541322,-0.8748993074766531,1464.4452081244673991,-49.6912265433620632,-0.3000000000000000,-58.9639890043341381,1.1053133194535134,-60.0693023237876531,0.5748993074766531,-1.8212337188701551,2.3961330263468081,9.7884031410700807,0.0000000000000000,0.0000000000000000,93.1607395128775124,0.3903991119109369,0.5748993074766531,6.2865629775087291,3.5018401635613516,994.4233535018785233,-18.6031325790872870,996.9667136872425317,-21.1464927644512954,-0.1301387682965469,-0.1301387682965469,1478.4998016013601045,-14.0545934768927054,1479.9924507657931372,-15.5472426413257381,0.1347230423998553,96.5035688148241633,-3.3428293019466508,96.2173841653779647,-3.0566446525004523,-0.1659757688605623,0.5570698903416512,-0.1666707784307143,0.5794836349416942,-0.1890845230307573,-1.7878931361479513,2.3627924436246044,2.7279511297443335,0.0000000000000000,1002.8208123304804076,-77.3494828107918693,27.0005914076891713,-2.2648866158633609,1141.8434079612222831,3.5073052004327110,1009.3505664714491559,1110.9002226320185400,1.0039393340465828,0.3931595187526852,-132.0996819710203170,-30.5500258104510038,-27.3239867165735149,868.6434167585900923,0.2613815777191013,-134.1773955718903153,9.1145406399999995,9.9529340420000008,9.0717555319999992,2.5357665861996841,2.2976626103944646,0.2381039758052195,-8.5540132941180218,-8.3471767000241073
"2020Q3",991.8630812407438953,64.1714412718106360,488.8166296449157926,492.2168312773924868,483.2086049286405114,NaN,3.4205059165224156,4.5118767391816164,2.6950245206458021,4.0000000000000000,6.5694103195362521,117.5573329804238085,7.4768532048610155,9.0457111809999997,12.3523481400000001,465.3293461169819238,-0.4191075298888336,1476.2687327418211680,47.2940984694150757,-0.4700000000000000,-27.2653744315901498,1.3439385076970716,-28.6093129392872214,-0.0508924701111664,-1.8561725838842866,1.8052801137731203,13.1081182499604996,0.0000000000000000,0.0000000000000000,94.0700494524899113,3.1489044030138365,-0.0508924701111664,6.3302086986841477,6.7779095512763519,994.1576602002694472,-2.2945789595255519,996.9515461915174228,-5.0884649507735276,-0.0606699829004356,-0.0606699829004356,1478.8100058414261184,-2.5412730996049504,1480.0300650745641633,-3.7613323327429953,0.1504572350841045,96.4495062739571694,-2.3794568214672580,96.1355757213948436,-2.0655262689049323,-0.3272337759324841,0.5893948227653656,2.5595095802484709,0.6174135875791600,2.5314908154346765,-1.8336605970728934,1.7827681269617270,2.9166868785027105,0.0000000000000000,1023.5060860549348263,82.7410948978176748,31.6430048141909310,18.5696536260070388,1143.6116291096884652,7.0728845938647282,1011.9705980439255200,1112.4514437479747357,0.8309057313509736,-18.5238930572355684,-150.1649241229984568,-49.6840784189493405,-27.3761203981969921,875.0476989334285918,0.2265966144339318,-148.4583871215061777,9.0457111809999997,9.8057602609999996,8.8858741139999999,2.4763008614637476,2.2989164460611975,0.1773844154025501,-9.0082263487519754,-8.4095417419462315
"2020Q4",990.3947946538542055,-5.8731463475587589,489.9405737409714447,493.3178129911437964,484.2991054588285351,NaN,4.4957763842226086,4.4039268550052384,4.3620021207520949,4.0000000000000000,5.9965581167434134,118.4789984909162115,3.6866620419696119,8.5960852170000006,12.3523481400000001,465.4341229994541322,0.4191075298888336,1475.9180670321075013,-1.4026628388546669,-0.5200000000000000,-27.4785649856543976,1.7239020986797067,-29.2024670843341028,-0.9391075298888336,-1.8894399724251048,0.9503324425362711,9.5933118378340598,0.0000000000000000,0.0000000000000000,93.9725477493989274,1.5007817325208048,-0.9391075298888336,6.3484329454577217,3.2448788923763381,993.9021907480931759,-3.5073960942389704,996.9576451311055507,-6.5628504772513452,0.0243957583525116,0.0243957583525116,1479.1603136007565809,-3.2422465686490796,1480.0942112667248693,-4.1761442346173681,0.2565847686428242,96.3646599291784582,-2.3921121797795308,96.0248005446350277,-2.0522527952361003,-0.4431007070392639,0.6138082089438031,0.8869735235770018,0.6480547029858905,0.8527270295349143,-1.8811025958567695,0.9419950659679359,3.0562350532643574,0.0000000000000000,1023.1544239760767141,-1.4066483154324487,32.7596293222225086,4.4664980321263101,1145.5831943234154551,7.8862608549079596,1013.3137491330646753,1114.6396318063893887,0.8504355426221681,-16.2006657646504166,-148.4701109550011040,-47.1442282816763125,-27.4184667888901572,879.8072576366261046,0.2384795626800253,-143.3471663394506947,8.5960852170000006,9.3851815470000002,8.4490514500000007,2.5995271002565872,2.2996771906387075,0.2998499096178797,-9.0187075323152612,-8.4522224878395456
"2021Q1",992.9857294543767239,10.3637392020900734,491.1772143292383248,494.6914216538402798,485.4321743514536820,NaN,4.9465623530675202,5.4944346507859336,4.5322755705005875,4.0000000000000000,6.0248080345356927,119.0887564777280545,2.4390319472473720,8.3615688420000005,11.5121250800000006,466.6735541646245906,4.9577246606818335,1475.7131084750876653,-0.8198342280793440,-0.5400000000000000,3.2702870081750941,2.2109025785208765,1.0593844296542176,-5.4977246606818335,-1.9179327331341622,-3.5797919275476713,4.7514041220553800,0.0000000000000000,0.0000000000000000,94.5850963131143203,1.0782456814681725,-5.4977246606818335,6.3388325845487197,-1.5874284624933397,993.6576094198984492,-0.6718799655217254,996.9857294543767239,-4.0000000000000000,0.1123372930846926,0.1123372930846926,1479.5508358831150417,-3.8377274080273764,1480.2051368447864661,-4.4920283696988008,0.4437023122463870,96.2579057625171686,-1.6728094494028483,95.8951154501716871,-1.3100191370573668,-0.5187403778533621,0.6320322623316067,0.4462134191365658,0.6731112825698348,0.4051343988983377,-1.9275590645361611,-3.5701655961456726,3.1503274360664162,0.0000000000000000,1026.2375731612085019,12.3325967405271513,33.2518437068317780,1.9688575384370779,1146.4063149042922305,3.2924823235071017,1015.5781278925852575,1114.8441306764243564,0.8314310188443661,-18.4606943689054859,-149.2888813806123665,-50.0228785967732676,-27.4436845701760319,883.2813077043118710,0.2394136057972718,-142.9562654568966025,8.3615688420000005,9.1471571419999993,8.2039093540000003,2.3367608074643078,2.2999999999999985,0.0367608074643093,-9.2592473023865978,-8.4741129981420045
"2021Q2",992.5546456055074032,-1.7243353954772829,493.0292541413717231,496.1094848536119457,487.6353718554699412,NaN,7.4081592485335932,5.6722527990866638,8.8127900160650370,4.0000000000000000,6.0624621816434843,119.9964782928396971,3.6308872604465705,8.4046958420000006,11.5121250800000006,467.2828834461905672,2.4373171262639062,1477.8804792211133190,8.6694829841026149,-0.5400000000000000,14.7069277791803863,2.7523868914123297,11.9545408877680561,-2.9773171262639062,-1.9379537568764271,-1.0393633693874791,3.7313559309675699,0.0000000000000000,0.0000000000000000,94.2501075976585412,-1.3456970668901089,-2.9773171262639062,6.3010325319841440,-2.5696766010165741,993.4223883676750120,-0.8677427621676088,997.0324163281522942,-4.4777707226448911,0.1867474951022814,0.1867474951022814,1479.9796572881596148,-2.0991780670462958,1480.3804792211133190,-2.5000000000000000,0.7013695053074116,96.1366246858900695,-1.8865170882315283,95.7552945950810823,-1.5051869974225411,-0.5592834203624193,0.6463435548356552,-1.9920406217257640,0.6948205821324014,-2.0405176490225103,-1.9697811882314191,-1.0075359380324871,3.2007792214181263,0.0000000000000000,1025.7778723343926686,-1.8388033072633334,33.2232267288852654,-0.1144679117860505,1148.2464421195172690,7.3605088609001541,1017.0552673719944323,1116.8314343619408646,0.8507740785500933,-16.1608663268644257,-147.3520410743873299,-47.5758740844409829,-27.4436845701760355,880.4304351262118189,0.2337567177750251,-145.3474372081809634,8.4046958420000006,9.2988211229999997,8.2041737559999994,2.3422336603565164,2.2999999999999980,0.0422336603565183,-8.4741129981420045,-8.4741129981420045
